"facility_id","access_level","population_count"
15049,"<30",139362.31863112
15049,">180",5955.40330688283
15050,"121-180",10801.6613588147
15050,"31-60",5128.90701269731
15050,"61-120",44952.179733634
15050,"<30",139267.808291808
15050,">180",5986.57948610559
15094,"121-180",13570.5381526388
15094,"31-60",3431.67786091566
15094,"61-120",44327.583935108
15094,"<30",137221.967585579
15094,">180",7585.36834881827
15275,"121-180",9381.60552388802
15275,"31-60",12806.6489550285
15275,"61-120",166911.16708326
15275,"<30",10951.9735301323
15275,">180",6085.74079075083
15301,"121-180",14191.5722057186
15301,"31-60",5501.23491941765
15301,"61-120",164084.27057226
15301,"<30",12602.250976786
15301,">180",9757.80720887706
15307,"121-180",9257.85613719001
15307,"31-60",10287.4354514442
15307,"61-120",170392.812127005
15307,"<30",10645.9986339845
15307,">180",5553.03353343531
15535,"121-180",10801.6613588147
15535,"31-60",5128.90701269731
15535,"61-120",44952.179733634
15535,"<30",139267.808291808
15535,">180",5986.57948610559
15629,"121-180",13399.8229247965
15629,"31-60",51543.9409914613
15629,"61-120",41307.5623525642
15629,"<30",90871.4952480048
15629,">180",9014.3143662326
15634,"121-180",10511.0496749543
15634,"31-60",5188.64316158369
15634,"61-120",44892.7178885117
15634,"<30",139563.028072417
15634,">180",5981.6970855929
15662,"121-180",10690.1751883514
15662,"31-60",4826.42124617472
15662,"61-120",45158.8043521196
15662,"<30",139480.038010821
15662,">180",5981.6970855929
15749,"121-180",17342.8278654329
15749,"31-60",135003.25594572
15749,"61-120",42862.0382931381
15749,"<30",0.192809693515301
15749,">180",10928.820969075
17040,"121-180",26304.3890563585
17040,"31-60",132766.411600947
17040,"61-120",34304.3469151855
17040,"<30",91.870337754488
17040,">180",12670.1179728135
17180,"121-180",13119.7440171577
17180,"31-60",98107.0438388772
17180,"61-120",41374.5373413116
17180,"<30",44477.1783893034
17180,">180",9058.63229640946
17181,"121-180",10798.5845759474
17181,"31-60",5456.45459170267
17181,"61-120",44553.6965821609
17181,"<30",139386.418899029
17181,">180",5941.98123421893
17184,"121-180",13119.7440171577
17184,"31-60",98107.0438388772
17184,"61-120",41374.5373413116
17184,"<30",44477.1783893034
17184,">180",9058.63229640946
17231,"121-180",161141.217953112
17231,"31-60",137.546757042408
17231,"61-120",17583.3356279507
17231,"<30",0
17231,">180",27275.0355449542
17478,"121-180",26558.1449291594
17478,"31-60",138672.742504455
17478,"61-120",29864.6596122421
17478,"<30",0
17478,">180",11041.5888372026
17479,"121-180",158340.542404123
17479,"31-60",1174.39979673177
17479,"61-120",34355.0383347757
17479,"<30",5.10261195152998
17479,">180",12262.0527354777
